  Tick   ID   Location   Memory   Time Left     Status
    24    2         -1       24           0   FINISHED
    24    3         -1       48           0   FINISHED
    24    4         -1       29           0   FINISHED
    24    5         -1       26           0   FINISHED
    24    6         -1       43           0   FINISHED
    24    7         -1       58           0   FINISHED
    24    8         -1       40           0   FINISHED
    24    9         -1       47           0   FINISHED
    24   10         -1       32           0   FINISHED
    24   11         -1       52           0   FINISHED
    24   12          7       62           5    RUNNING
    24   13          6       32           1    RUNNING
    24   14         -1       40           0   FINISHED
    24   15          4       61           7    RUNNING
    24   16          1       40           2      READY
    24   17         -1       55           8    WAITING
    24   18          5       34           6    RUNNING
    24   19          9       28           2      READY

  Tick   ID   Location   Memory   Time Left     Status
    25    0         -1       23           0   FINISHED
    25    1         -1       19           0   FINISHED
    25    2         -1       24           0   FINISHED
    25    3         -1       48           0   FINISHED
    25    4         -1       29           0   FINISHED
    25    5         -1       26           0   FINISHED
    25    6         -1       43           0   FINISHED
    25    7         -1       58           0   FINISHED
    25    8         -1       40           0   FINISHED
    25    9         -1       47           0   FINISHED
    25   10         -1       32           0   FINISHED
    25   11         -1       52           0   FINISHED
    25   12          7       62           4    RUNNING
    25   13         -1       32           0   FINISHED
    25   14         -1       40           0   FINISHED
    25   15          4       61           7      READY
    25   16          1       40           1    RUNNING
    25   17         -1       55           8    WAITING
    25   18          5       34           6      READY
    25   19          9       28           1    RUNNING

  Tick   ID   Location   Memory   Time Left     Status
    26    0         -1       23           0   FINISHED
    26    1         -1       19           0   FINISHED
    26    2         -1       24           0   FINISHED
    26    3         -1       48           0   FINISHED
    26    4         -1       29           0   FINISHED
    26    5         -1       26           0   FINISHED
    26    6         -1       43           0   FINISHED
    26    7         -1       58           0   FINISHED
    26    8         -1       40           0   FINISHED
    26    9         -1       47           0   FINISHED
    26   10         -1       32           0   FINISHED
    26   11         -1       52           0   FINISHED
    26   12          7       62           3    RUNNING
    26   13         -1       32           0   FINISHED
    26   14         -1       40           0   FINISHED
    26   15          4       61           6    RUNNING
    26   16         -1       40           0   FINISHED
    26   17         -1       55           8    WAITING
    26   18          5       34           5    RUNNING
    26   19          9       28           1      READY

  Tick   ID   Location   Memory   Time Left     Status
    27    0         -1       23           0   FINISHED
    27    1         -1       19           0   FINISHED
    27    2         -1       24           0   FINISHED
    27    3         -1       48           0   FINISHED
    27    4         -1       29           0   FINISHED
    27    5         -1       26           0   FINISHED
    27    6         -1       43           0   FINISHED
    27    7         -1       58           0   FINISHED
    27    8         -1       40           0   FINISHED
    27    9         -1       47           0   FINISHED
    27   10         -1       32           0   FINISHED
    27   11         -1       52           0   FINISHED
    27   12          7       62           2    RUNNING
    27   13         -1       32           0   FINISHED
    27   14         -1       40           0   FINISHED
    27   15          4       61           5    RUNNING
    27   16         -1       40           0   FINISHED
    27   17         -1       55           8    WAITING
    27   18          5       34           4    RUNNING
    27   19         -1       28           0   FINISHED

  Tick   ID   Location   Memory   Time Left     Status
    28    0         -1       23           0   FINISHED
    28    1         -1       19           0   FINISHED
    28    2         -1       24           0   FINISHED
    28    3         -1       48           0   FINISHED
    28    4         -1       29           0   FINISHED
    28    5         -1       26           0   FINISHED
    28    6         -1       43           0   FINISHED
    28    7         -1       58           0   FINISHED
    28    8         -1       40           0   FINISHED
    28    9         -1       47           0   FINISHED
    28   10         -1       32           0   FINISHED
    28   11         -1       52           0   FINISHED
    28   12          7       62           1    RUNNING
    28   13         -1       32           0   FINISHED
    28   14         -1       40           0   FINISHED
    28   15          4       61           4    RUNNING
    28   16         -1       40           0   FINISHED
    28   17         -1       55           8    WAITING
